Distance (m),Elevation (m)
664.5965743205631,470.3697509765625
672.7014105927651,469.0631408691406
680.8062468649671,467.5597839355469
688.9110831371692,465.6705627441406
697.0159194093711,463.9144287109375
705.1207556815731,462.2168884277344
713.225591953775,460.2582702636719
721.330428225977,458.1006774902344
729.4352644981791,456.0321044921875
737.5401007703811,454.3410339355469
745.644937042583,452.9033203125
753.749773314785,451.4418029785156
761.8546095869871,449.2145690917969
769.959445859189,446.3494873046875
778.064282131391,443.4392700195312
786.169118403593,440.6534423828125
794.2739546757949,438.1417541503906
802.378790947997,436.1494140625
810.483627220199,434.7926330566406
818.5884634924009,433.7237243652344
826.6932997646029,432.4280395507812
834.798136036805,430.8048706054688
842.9029723090069,429.0869445800781
851.0078085812089,427.2051391601562
859.1126448534109,424.8931579589844
867.2174811256128,422.3157958984375
875.3223173978149,419.4015197753906
883.4271536700169,416.3787536621094
891.5319899422188,414.5128479003906
899.6368262144208,414.048583984375
907.7416624866228,413.6352844238281
915.8464987588249,412.9123840332031
923.9513350310268,412.2203063964844
932.0561713032288,411.9938049316406
940.1610075754307,412.2390747070312
948.2658438476328,412.7951049804688
956.3706801198348,413.5579223632812
964.4755163920368,414.5379333496094
972.5803526642387,415.2271423339844
980.6851889364407,414.8077087402344
988.7900252086428,413.6545104980469
996.8948614808447,412.6227722167969
1004.9996977530467,412.0661926269531
1013.1045340252487,411.970703125
1021.2093702974507,412.4440307617188
1029.3142065696527,413.0462036132812
1037.4190428418547,413.5627136230469
1045.5238791140566,413.9641723632812
1053.6287153862586,414.0452575683594
1061.7335516584606,413.7694091796875
1069.8383879306625,413.4534301757812
1077.9432242028647,413.4883117675781
1086.0480604750667,414.0210571289062
1094.1528967472686,414.7932434082031
1102.2577330194706,415.6995239257812
1110.3625692916726,416.4906005859375
1118.4674055638745,416.7552185058594
1126.5722418360765,416.4585876464844
1134.6770781082785,416.1739196777344
1142.7819143804804,416.1351318359375
1150.8867506526826,416.1007385253906
1158.9915869248846,415.6605224609375
1167.0964231970866,414.754638671875
1175.2012594692885,413.7652893066406
1183.3060957414905,412.8093872070312
1191.4109320136924,411.372802734375
1199.5157682858944,409.0717468261719
1207.6206045580964,406.3333435058594
1215.7254408302983,404.4118347167969
1223.8302771025005,403.0877380371094
1231.9351133747025,402.6417846679688
1240.0399496469045,402.3979797363281
1248.1447859191064,401.8199157714844
1256.2496221913084,400.8526000976562
1264.3544584635104,399.6913757324219
1272.4592947357123,398.5616455078125
1280.5641310079143,397.7362670898438
1288.6689672801162,397.1328125
1296.7738035523184,396.3652038574219
1304.8786398245204,395.4796447753906
1312.9834760967224,394.8989562988281
1321.0883123689243,394.399658203125
1329.1931486411263,394.1063232421875
1337.2979849133283,393.6839904785156
1345.4028211855302,392.5224914550781
1353.5076574577322,390.3825073242188
1361.6124937299342,388.1323852539062
1369.7173300021361,386.4539489746094
1377.8221662743383,384.6537170410156
1385.9270025465403,382.6573181152344
1394.0318388187422,380.1847839355469
1402.1366750909442,377.5909118652344
1410.2415113631462,375.6599426269531
1418.3463476353481,373.7631225585938
1426.45118390755,371.5211181640625
1434.556020179752,369.8304138183594
1442.660856451954,368.7586059570312
1450.7656927241562,367.8597412109375
